Ref,Val,Package,PosX,PosY,Rot,Side
"C102","100n","C_0201_0603Metric",-207.100000,92.402000,90.000000,bottom
"C102","100n","C_0201_0603Metric",-37.100000,92.402000,90.000000,bottom
"C103","1u","C_0201_0603Metric",-40.300000,91.602000,-90.000000,bottom
"C103","1u","C_0201_0603Metric",-210.300000,91.602000,-90.000000,bottom
"C103","1u","C_0201_0603Metric",-125.300000,91.602000,-90.000000,bottom
"C104","1u","C_0201_0603Metric",-40.300000,89.202000,-90.000000,bottom
"C104","1u","C_0201_0603Metric",-125.300000,89.202000,-90.000000,bottom
"C104","1u","C_0201_0603Metric",-210.300000,89.202000,-90.000000,bottom
"C105","1u","C_0201_0603Metric",-122.900000,86.002000,90.000000,bottom
"C105","1u","C_0201_0603Metric",-37.900000,86.002000,90.000000,bottom
"C105","1u","C_0201_0603Metric",-207.900000,86.002000,90.000000,bottom
"C106","100n","C_0201_0603Metric",-38.700000,86.002000,90.000000,bottom
"C106","100n","C_0201_0603Metric",-123.700000,86.002000,90.000000,bottom
"C106","100n","C_0201_0603Metric",-208.700000,86.002000,90.000000,bottom
"C108","10n","C_0201_0603Metric",-201.100000,83.202000,180.000000,bottom
"C108","10n","C_0201_0603Metric",-116.100000,83.202000,180.000000,bottom
"C108","10n","C_0201_0603Metric",-31.100000,83.202000,180.000000,bottom
"C109","1n","C_0201_0603Metric",-117.700000,83.202000,0.000000,bottom
"C109","1n","C_0201_0603Metric",-32.700000,83.202000,0.000000,bottom
"C109","1n","C_0201_0603Metric",-202.700000,83.202000,0.000000,bottom
"C111","10n","C_0201_0603Metric",-208.300000,83.202000,0.000000,bottom
"C111","10n","C_0201_0603Metric",-38.300000,83.202000,0.000000,bottom
"C111","10n","C_0201_0603Metric",-123.300000,83.202000,0.000000,bottom
"C112","1n","C_0201_0603Metric",-121.700000,83.202000,180.000000,bottom
"C112","1n","C_0201_0603Metric",-36.700000,83.202000,180.000000,bottom
"C112","1n","C_0201_0603Metric",-206.700000,83.202000,180.000000,bottom
"D13","24.25V @ 120mA","D_SOD-323",-148.300000,14.302000,-90.000000,bottom
"D13","24.25V @ 120mA","D_SOD-323",-233.300000,14.302000,-90.000000,bottom
"D13","24.25V @ 120mA","D_SOD-323",-63.300000,14.302000,-90.000000,bottom
"D14","TN1205H","TO-263-2",-141.650000,19.227000,90.000000,bottom
"D14","TN1205H","TO-263-2",-56.650000,19.227000,90.000000,bottom
"D14","TN1205H","TO-263-2",-226.650000,19.227000,90.000000,bottom
"FB3","600 @ 100MHz","R0805",-150.200000,112.102000,0.000000,bottom
"FB3","600 @ 100MHz","R0805",-65.200000,112.102000,0.000000,bottom
"FB3","600 @ 100MHz","R0805",-235.200000,112.102000,0.000000,bottom
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",-174.100000,112.202000,180.000000,bottom
