"Reference","Value","Tolerance","MFR","MPN","Footprint","Datasheet","Qty","SUPPLIER_OC","SUPPLIER_URL"
"R5,R6,R22,R37,R38,R39,R44,R45,R49,R58,R71,R72,R73,R74,R75,R76,R77","4k7","±1% 1/10W","Vishay Dale","CRCW06034K70FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","17","541-4.70KHDKR-ND","https://www.digikey.com/short/f3fq37nd"
"R7,R24,R25,R26,R31,R34,R78,R79,R80","2k2","±1% 1/10W","Vishay Dale","CRCW06032K20FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","9","541-2.20KHDKR-ND","https://www.digikey.com/short/bnh9rvr0"
"R8,R41","1M","±1% 1/10W","Vishay Dale","CRCW06031M00FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","2","541-1.00MHDKR-ND","https://www.digikey.com/short/18qqp0zw"
"R10","8k06","±1% 1/10W","Vishay Dale","CRCW06038K06FKEAC","rhais_rcl:R0603","https://www.vishay.com/docs/28773/crcwce3.pdf","1","541-5582-6-ND","https://www.digikey.com/short/0rb579j0"
"R11,R13","100","±1%  1/16W ","Vishay Dale","CRCW0402100RFKED","rhais_rcl:R0402","https://www.vishay.com/docs/20035/dcrcwe3.pdf","2","541-100LDKR-ND","https://www.digikey.com/short/v1307zwt"
"R14,R35,R46,R48,R50,R66","10K","±5%  1/16W ","Bourns Inc.","CAY16-103J4LF","rhais_rcl:R0603_Array_Concave_4","https://www.bourns.com/docs/Product-Datasheets/CATCAY.pdf","6","CAY16-103J4LFDKR-ND","https://www.digikey.com/short/91vhpmq2"
"R15","5k36","±1% 1/10W","Vishay Dale","CRCW06035K36FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","1","541-5.36KHDKR-ND","https://www.digikey.com/short/7m28vqhp"
"R16","10m","±1% 1/2W","Bourns","CFN0603-FX-R010ELF","rhais_rcl:R0603","https://www.bourns.com/docs/product-datasheets/cfn.pdf","1","118-CFN0603-FX-R010ELFDKR-ND","https://www.digikey.com/short/4n42tn2t"
"R18","40k","±1% 1/10W","YAGEO","RT0603BRD0740KL","rhais_rcl:R0603","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","1","13-RT0603BRD0740KLDKR-ND","https://www.digikey.com/short/h5hc74hj"
"R19,R20","100k","±1% 1/10W","Vishay Dale","CRCW0603100KFKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","2","541-100KHDKR-ND","https://www.digikey.com/short/5n1ztv42"
"R29,R30","0","1/4W","Vishay Dale","CRCW04020000Z0ED","rhais_rcl:R0402","https://www.vishay.com/docs/20035/dcrcwe3.pdf","2","541-0.0JDKR-ND","https://www.digikey.com/short/qmj7b2hp"
"R33","300k","±1% 1/10W","Vishay Dale","CRCW0603300KFKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","1","541-300KHDKR-ND","https://www.digikey.com/short/vhwb22v9"
"R43","150k","±1% 1/10W","Vishay Dale","CRCW0603150KFKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","1","541-150KHDKR-ND","https://www.digikey.com/short/92h8nv35"
"R47","52R3","±1% 1/10W","Vishay Dale","CRCW060352R3FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","1","541-52.3HDKR-ND","https://www.digikey.com/short/099qpz0w"
